コントロールカラム,ディレクトリid,パス名
,568237,CD・DVD >> Blu-ray >> 舞台 >> 歌舞伎・能・狂言
,564009,CD・DVD >> Blu-ray >> 邦画 >> SF
,553512,CD・DVD >> Blu-ray >> 邦画 >> アクション
,564020,CD・DVD >> Blu-ray >> 邦画 >> アニメ
,553513,CD・DVD >> Blu-ray >> 邦画 >> コメディー
,553514,CD・DVD >> Blu-ray >> 邦画 >> サスペンス・ミステリー
,505037,CD・DVD >> Blu-ray >> 邦画 >> その他
,553517,CD・DVD >> Blu-ray >> 邦画 >> ドキュメンタリー
,553518,CD・DVD >> Blu-ray >> 邦画 >> ヒューマン
,553520,CD・DVD >> Blu-ray >> 邦画 >> ホラー
,553521,CD・DVD >> Blu-ray >> 邦画 >> ラブストーリー
,553515,CD・DVD >> Blu-ray >> 邦画 >> 時代劇
,553516,CD・DVD >> Blu-ray >> 邦画 >> 戦争
,564005,CD・DVD >> Blu-ray >> 洋画 >> SF
,553487,CD・DVD >> Blu-ray >> 洋画 >> アクション
,564004,CD・DVD >> Blu-ray >> 洋画 >> アニメ
,553488,CD・DVD >> Blu-ray >> 洋画 >> コメディー
,553489,CD・DVD >> Blu-ray >> 洋画 >> サスペンス・ミステリー
,505035,CD・DVD >> Blu-ray >> 洋画 >> その他
,553492,CD・DVD >> Blu-ray >> 洋画 >> ドキュメンタリー
,553493,CD・DVD >> Blu-ray >> 洋画 >> ヒューマン
,553495,CD・DVD >> Blu-ray >> 洋画 >> ホラー
,553496,CD・DVD >> Blu-ray >> 洋画 >> ラブストーリー
,553490,CD・DVD >> Blu-ray >> 洋画 >> 西部劇
,553491,CD・DVD >> Blu-ray >> 洋画 >> 戦争
,300101,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・あ行
,300102,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・か行
,300103,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・さ行
,300104,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・た行
,300105,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・な行
,300106,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・は行
,300107,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・ま行
,300108,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・や行
,300109,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・ら行
,300110,CD・DVD >> CD >> アニメ >> アニメソング >> アニメタイトル・わ行
,101326,CD・DVD >> CD >> アニメ >> アニメソング >> その他
,508091,CD・DVD >> CD >> アニメ >> その他
,300112,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・あ行
,300113,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・か行
,300114,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・さ行
,300115,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・た行
,300116,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・な行
,300117,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・は行
,300118,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・ま行
,300119,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・や行
,300120,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・ら行
,300121,CD・DVD >> CD >> アニメ >> 声優 >> アーティスト名・わ行
,200536,CD・DVD >> CD >> アニメ >> 声優 >> その他
