コントロールフラグ,商品番号,商品カテゴリ名,商品カテゴリID
n,10426,ラグビー用品,10330
n,10427,ミカサ,9405
n,10428,ボール収納カゴ,7320
n,10429,練習用具,8006
n,10430,練習用具,10413
n,10431,ギフト包装＆メッセージカード,4593
n,10434,シューズ,10433
n,10435,ドッジボール用品,10330
n,10436,その他,10340
n,10438,記念品,10437
n,10439,キーホルダー・ストラップ,10437
n,10440,レフェリーグッズ,10338
n,10441,サポーター,10338
n,10442,ラインテープ,7320
n,10443,ボール用ポンプ,7320
n,10444,アシックス,6248
n,10445,アディダス,6248
n,10446,アンブロ,6248
n,10447,プーマ,6248
n,10448,ミズノ,6248
n,10450,その他,6248
n,10451,アシックス,6249
n,10452,アディダス,6249
n,10453,アンブロ,6249
n,10455,ミズノ,6249
n,10457,その他,6249
n,10458,アシックス,6250
n,10459,アディダス,6250
n,10460,アンブロ,6250
n,10461,プーマ,6250
n,10462,ミズノ,6250
n,10464,その他,6250
n,10465,アシックス,6251
n,10466,アディダス,6251
n,10467,アンブロ,6251
n,10468,プーマ,6251
n,10469,ミズノ,6251
n,10470,その他,6251
n,10471,アシックス,7153
n,10472,アディダス,7153
n,10473,アンブロ,7153
n,10474,プーマ,7153
n,10475,ミズノ,7153
n,10477,その他,7153
n,10478,その他,6245
n,10480,グラウンド用品,6914
n,10481,バッティングゲージ,7367
n,10482,バッティングティー,7367
n,10483,ボール収納カゴ,7345
n,10484,ボール収納カゴ,9127
n,10485,ボール収納カゴ,7969
n,10486,ボール収納カゴ,7968
n,10487,サッカー用品,8261
n,10488,バスケットボール用品,8261
n,10489,その他,7320
n,10490,バレーボール用品,8261
n,10491,ネット,7320
n,10492,テニス用品,8261
n,10503,ウェア,6966
n,10505,ミズノ,10504
n,10507,ミズノ,10506
n,10516,デサント,10309
n,10517,デサント,10506
n,10518,アクセサリ・小物,9334
n,10519,バッグ,9334
n,10520,デサント,6248
n,10522,ミズノ,10521
n,10523,アームウォーマー,6418
n,10524,バドミントン用品,8261
n,10525,野球用品,8261
n,10526,ラインテープ,7345
n,10527,ラインテープ,9127
n,10530,アディダス,7650
n,10531,コンバース,10504
n,10532,コンバース,6248
n,10533,コンバース,6249
n,10534,コンバース,6250
n,10535,コンバース,6251
n,10536,コンバース,7153
n,10537,シューズ,5294
n,10538,卓球台,5294
n,10539,円盤,7990
n,10540,砲丸,7990
n,10542,ゴール,7969
n,10543,フットサル用品,8261
n,10544,ティーボール用品,5894
n,10545,ティーボール用品,8261
n,10547,マーク加工対応,9920
n,10548,マーク加工非対応,9920
n,10554,マーク加工対応,10549
n,10555,マーク加工対応,10550
n,10556,マーク加工対応,10551
n,10557,マーク加工非対応,10549
n,10558,マーク加工非対応,10550
n,10559,マーク加工非対応,10551
n,10560,マーク加工非対応,10552
n,10561,マーク加工非対応,10553
n,10562,ウェア,8566
n,10564,審判台,7320
n,10565,アディダス,10313
n,10566,ひじ用,6076
n,10567,ひざ用,6076
n,10568,その他,6076
n,10569,サポーター,10331
n,10571,カンタベリー,10570
n,10572,プーマ,10309
n,10573,チャンピオン,10309
n,10574,ルコック,10309
n,10576,ミズノ,8005
n,10577,フラッグフットボール用品,5901
n,10578,得点板,7320
n,10579,得点板,7345
n,10580,得点板,9127
n,10582,カンタベリー,10581
n,10585,スポーツサングラス,5182
n,10588,その他,7556
n,10589,その他,8285
n,10592,ミズノ,10590
n,10593,ミズノ,10591
n,10601,ジェーンスタイル,10309
n,10602,アディダス,4963
n,10604,ゴーセン,4963
n,10605,ダンロップ,4963
n,10606,ディアドラ,4963
n,10607,バボラ,4963
n,10608,プリンス,4963
n,10609,ヨネックス,4963
n,10610,スリクソン,4963
n,10611,ニューバランス,4963
n,10612,ミズノ,4963
n,10613,パラディーゾ,4963
n,10614,エレッセ,4963
n,10615,フィラ,4963
n,10616,その他,4963
n,10618,サングラス（アイウェア）,8657
n,10625,アシックス,10261
n,10626,アシックス,6580
n,10627,アシックス,6571
n,10628,ヘルメット・プロテクター,7825
n,10634,ワールドペガサス,7086
n,10635,ワールドペガサス,7087
n,10636,ワールドペガサス,7088
n,10644,ワールドペガサス,6951
n,10645,ワールドペガサス,6953
n,10650,ワールドペガサス,7329
n,10653,ワールドペガサス,7346
n,10654,ワールドペガサス,8170
n,10655,ワールドペガサス,8182
n,10657,ディアドラ,6521
n,10659,SSK,7391
n,10660,SSK,7389
n,10661,SSK,7390
n,10663,SSK,7386
n,10664,SSK,7387
n,10665,SSK,7388
n,10672,ミズノ,7386
n,10673,アシックス,7386
n,10674,ゼット,7386
n,10676,ミズノ,7387
n,10677,アシックス,7387
n,10678,ゼット,7387
n,10680,ミズノ,7388
n,10682,ゼット,7388
n,10684,ミズノ,7389
n,10685,アシックス,7389
n,10686,ゼット,7389
n,10688,ミズノ,7390
n,10689,アシックス,7390
n,10690,ゼット,7390
n,10692,ミズノ,7391
n,10693,アシックス,7391
n,10694,ゼット,7391
n,10725,トップス（シャツ・ポロ他 ）,10721
n,10727,ミズノ,10722
n,10728,ミズノ,10724
n,10730,ミズノ,10726
n,10731,ウェア,10242
n,10732,アシックス,10590
n,10733,アシックス,10591
n,10734,スキンケア,5181
n,10736,シャトル,5940
n,10737,ドッジボール用品,6880
n,10738,ドッジボール用品,5463
n,10739,ボール,6966
n,10742,アディダス,10741
n,10744,アクセサリ・小物,10743
n,10745,アディダス,6513
n,10746,その他,4935
n,10747,アクセサリ・小物,8360
n,10748,デサント,6249
n,10749,デサント,6250
n,10750,ネックウォーマー・ネックガード,6039
n,10752,メンテナンス用品,7122
n,10753,アディダス,8882
n,10754,シューズ,10743
n,10755,アディダス,10218
n,10756,アディダス,10231
n,10757,アディダス,10230
n,10758,水泳用品,5463
n,10760,アディダス,10570
n,10761,ウェア,8661
n,10762,アディダス,9393
n,10763,アディダス,9395
n,10764,アディダス,9396
n,10765,アディダス,10504
n,10766,アディダス,6478
n,10767,アディダス,6479
n,10768,バッグ,6964
n,10769,フィラ,10309
n,10770,フィラ,5998
n,10773,アディダス,10771
n,10774,アディダス,10772
n,10776,シューズ,10775
n,10778,アディダス,10777
n,10779,アディダス,9463
n,10782,フィラ,6002
n,10783,フィラ,5997
n,10784,フィラ,6000
n,10786,ウェア,10785
n,10787,フィラ,6004
n,10788,フィラ,5999
n,10789,フィラ,6001
n,10790,フィラ,6003
n,10791,アディダス,5937
n,10792,シューズ,9122
n,10793,アクセサリ・小物,8657
n,10794,アディダス,6035
n,10796,ミズノ,10772
n,10798,ミズノ,10797
n,10799,ソックス,9660
n,10800,ソックス,9661
n,10801,ディアドラ,6522
n,10802,ボール,7825
n,10803,ボール,8348
n,10804,ヘルメット・プロテクター,8348
n,10807,プーマ,10805
n,10812,プーマ,10806
n,10817,ミズノ,10624
n,10821,プーマ,10819
n,10822,プーマ,10820
n,10823,プーマ,10771
n,10824,プーマ,10772
n,10825,プーマ,9463
n,10827,プーマ,10797
n,10828,バッグ,8745
n,10833,アクセサリ・小物,8752
n,10835,バッグ,5940
n,10836,ゴーセン,8778
n,10837,ゴーセン,6521
n,10838,アシックス,8776
n,10839,フォーザ,4651
n,10841,バッグ,5969
n,10842,ルコック,6248
n,10843,ルコック,6249
n,10844,ルコック,6250
n,10846,ルコック,7153
n,10847,ルコック,10313
n,10849,ルコック,6682
n,10851,アクセサリ・小物,9263
n,10852,アクセサリ・小物,9236
n,10854,設備・備品,9263
n,10855,ルコック,10581
n,10859,バッグ,10858
n,10860,財布・ポーチ,9822
n,10863,ヴィクタス,9664
n,10864,ヴィクタス,9666
n,10865,ヴィクタス,9663
n,10867,ヴィクタス,10866
n,10868,ヴィクタス,9667
n,10869,TSP,10866
n,10870,ヴィクター,4648
n,10873,ラケット,10872
n,10874,シューズ,10872
n,10875,バッグ,10872
n,10876,サッカー用品,6178
n,10877,野球・ソフトボール用品,6178
n,10878,バスケットボール用品,6178
n,10879,フットサル用品,6178
n,10880,トーエイ,6945
n,10881,バレーボール用品,6178
n,10882,テニス・ソフトテニス用品,6178
n,10883,ニッタク,6220
n,10884,バタフライ,6220
n,10885,TSP,6220
n,10886,ヤサカ,6220
n,10887,ユニバー,6220
n,10888,その他,6220
n,10889,卓球用品,6178
n,10890,ティーボール用品,6178
n,10891,ハンドボール用品,6178
n,10892,支柱・ネット,4660
n,10893,得点板,4660
n,10894,その他コート用品,4660
n,10895,バドミントン用品,6178
n,10898,ヴィクター,4651
n,10899,ストリング,10872
n,10900,アクセサリ・小物・ラケット備品,10872
n,10901,ヴィクター,4684
n,10902,シャトル,10872
n,10903,ヴィクター,4649
n,10904,ヴィクター,4982
n,10906,ウエア,10872
n,10907,ヴィクター,5615
n,10909,アシックス,6566
n,10910,アシックス,6567
n,10911,アシックス,6569
n,10912,アシックス,6570
n,10913,アシックス,6575
n,10914,アシックス,6576
n,10915,アシックス,6577
n,10916,アシックス,6578
n,10918,ザナックス,8561
n,10920,ヴィクター,4973
n,10921,ヴィクター,4972
n,10922,ヴィクター,5141
n,10923,ミズノ,10780
n,10925,ヴィクター,5142
n,10926,トリガーポイント,11618
n,10927,スキンズ,5997
n,10928,スキンズ,6002
n,10929,スキンズ,6004
n,10933,ルコック,8777
n,10934,ローチェ,8777
n,10935,体育器具,6880
n,10938,野球用品,10937
n,10939,卓球用品,10937
n,10940,バタフライ,10866
n,10941,アディダス,8540
n,10942,スワンズ,6513
n,10943,運動遊び,7556
n,10944,ステップリング・ジャンピングシェイプ,7556
n,10945,エアボール・ふうせんバレー,7556
n,10946,簡易式ネット・プレルボール,7556
n,10947,ソフトタイプボール,7556
n,10948,ドッヂビー・フォームディスク,7556
n,10949,ターゲットゲーム・ストライクボード,7556
n,10950,輪投げ・フロアバスケット,7556
n,10951,プレイランド・トンネル,7556
n,10960,合気道用品,7992
n,10961,フィノア,11620
n,10962,プロ,11620
n,10964,ジェリー(GERRY),7506
n,10965,修斗用品,7992
n,10967,アディダス,8227
n,10968,グラウンド用品,7498
n,10969,グラウンド用品,7908
n,10970,グラウンド用品,7825
n,10971,空気入れ・空気圧計,6872
n,10972,モルテン,9405
n,10973,ラグビー用品,6880
n,10974,アディダス,9405
n,10975,ボール,8661
n,10976,フットベースボール,7556
n,10977,アシックス,10313
n,10978,アシックス,10504
n,10980,アシックス,7148
n,10983,アシックス,10982
n,10984,アシックス,10506
n,10986,ゼット,8537
n,10987,ゼット,8538
n,10988,ゼット,8539
n,10989,ゼット,8561
n,10990,その他,10257
n,10991,アクセサリ・小物,7498
n,10994,アンブロ,9035
n,10995,プーマ,9019
n,10996,アシックス,8995
n,10997,アシックス,9000
n,10998,アシックス,9003
n,10999,デサント,6577
n,11000,デサント,9019
n,11001,デサント,6578
n,11003,ディアドラ,10771
n,11004,アシックス,10521
n,11005,アクセサリ・小物,6374
n,11006,アシックス,10979
n,11007,ゴーグル,10268
n,11009,スパッツィオ,9035
n,11010,ラコステ,8778
n,11011,アディダス,8778
n,11012,アディダス,9662
n,11013,フィラ,8778
n,11014,アディダス,9663
n,11015,アディダス,9668
n,11019,アシックス,11017
n,11020,ミズノ,11017
n,11021,アシックス,11018
n,11022,ミズノ,11018
n,11023,その他種目,11016
n,11024,ラグビージャンキー,9356
n,11025,ラグビージャンキー,10581
n,11026,ラグビージャンキー,9357
n,11027,ローチェ,6521
n,11028,ローチェ,6522
n,11031,ゼット,8534
n,11032,シューズ,9546
n,11038,ミズノ,9463
n,11039,アクセサリ・小物,7825
n,11040,インソール,4937
n,11042,インソール,11041
n,11044,インソール,11043
n,11045,インソール,9105
n,11047,インソール,11046
n,11049,インソール,11048
n,11052,ミズノ,8542
